Institution	City	State	Zipcode	RU_VH	ARL	ACAD_RES	Public_100K	Public_CA	latitude	longitude
Athens-Clarke County Library	Athens-Clarke County	Georgia	30606	N	N	N	Y	N	33.945336	-83.403568
Atlanta-Fulllerton County Public Library Syst.	Atlanta	Georgia	30303	N	N	N	Y	N	33.740833	-84.420541
East Central Georgia Regional Library	Augusta-Richmond County	Georgia	30901	N	N	N	Y	N	33.473959	-81.968952
Louisiana State University and Agricultural & Mechanical College 	Baton Rouge	Louisiana	70803	Y	Y	Y	N	N	30.414416	-91.180086
Massachusetts Institute of Technology	Cambridge	Massachusetts	02139	Y	Y	Y	N	N	42.359185	-71.093541
McGill University	Montreal	Quebec	H3A0C9	N	Y	Y	N	N	45.505001	-73.575996
McMaster University	Hamilton	Ontario		N	Y	Y	N	N	43.262231	-79.916155
Michigan State University	East Lansing	Michigan	48824	Y	Y	Y	N	N	42.730926	-84.483366
Mississippi State University	Mississippi State	Mississippi	39762	Y	N	Y	N	N	33.457245	-88.784111
Montana State University	Bozeman	Montana	59717	Y	N	Y	N	N	45.666604	-111.048573
National Agricultural Library	Beltsville	Maryland	20705	N	Y	Y	N	N	39.022963	-76.92155
National Archives and Records Administration	Washington	District of Columbia	20740	N	Y	Y	N	N	38.998325	-76.926406
National Library of Medicine	Bethesda	Maryland	20894	N	Y	Y	N	N	38.988409	-77.096475
New York Public Library	New York	New York	10199	N	Y	Y	Y	N	40.765064	-73.986534
New York State Library	Albany	New York	12230	N	Y	Y	N	N	42.6512	-73.755459
New York University	New York	New York	10012	Y	Y	Y	N	N	40.725285	-73.997726
North Carolina State University at Raleigh	Raleigh	North Carolina	27695	Y	Y	Y	N	N	35.800549	-78.712601
North Dakota State University-Main Campus	Fargo	North Dakota	58108	Y	N	Y	N	N	46.890561	-96.801767
Northwestern University	Evanston	Illinois	60208	Y	Y	Y	N	N	42.053341	-87.673363
Ohio State University-Main Campus	Columbus	Ohio	43210	Y	Y	Y	N	N	39.999085	-83.015678
Ohio University	Athens	Ohio	45701	N	Y	Y	N	N	39.274457	-82.156889
Oklahoma State University	Stillwater	Oklahoma	74078	N	Y	Y	N	N	36.113235	-97.056931
Oregon State University	Corvallis	Oregon	97331	Y	N	Y	N	N	44.564782	-123.276996
Pennsylvania State University-Main Campus	University Park	Pennsylvania	16802	Y	Y	Y	N	N	40.797879	-77.866019
Princeton University	Princeton	New Jersey	08544	Y	Y	Y	N	N	40.349855	-74.659119
Purdue University-Main Campus	West Lafayette	Indiana	47907	Y	Y	Y	N	N	40.368893	-86.877434
Queen's University Library	Kingston	Ontario		N	Y	Y	N	N	44.226002	-76.486
Rensselaer Polytechnic Institute	Troy	New York	12180	Y	N	Y	N	N	42.719872	-73.659073
Rice University	Houston	Texas	77005	Y	Y	Y	N	N	29.71844	-95.422424
Rockefeller University	New York	New York	10065	Y	N	Y	N	N	40.762679	-73.95571
Rutgers University-New Brunswick	New Brunswick	New Jersey	08901	Y	Y	Y	N	N	40.49477	-74.443809
Smithsonian Institution	Washington	District of Columbia	20560	N	Y	Y	N	N	38.897331	-77.042252
Southern Illinois University Carbondale	Carbondale	Illinois	62901	N	Y	Y	N	N	37.726219	-89.222916
Stanford University	Stanford	California	94305	Y	N	Y	N	N	37.43136978	-122.1689224
